name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,bad,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p3_t1_f0,frontal,RRTConnect,0,True,False,False,False,False,0.3806295394897461,9.226988443389363,3.855153969645593,98,0,,,4.078148183167804,0.5353460385268783,4.078148183167803,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p3_t1_f0,frontal,RRTConnect,1,True,False,False,False,False,0.4299943447113037,9.275105205478027,3.869446056025456,98,0,,,4.112485981375664,0.5250666213633495,4.112485981375664,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p3_t1_f0,naive,RRTConnect,0,True,False,False,False,False,0.3818340301513672,3.185506117083955,2.082180460361169,84,14,stem_r0_p3_s1|grasped_fruit_r0_p3_t1_f0×10;rg2_leftfinger|stem_r0_p3_s1×4,,1.5927530585419776,0.0,1.5927530585419774,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t1_f0,naive,RRTConnect,1,True,False,False,False,False,0.3533952236175537,7.699829450105529,3.9435703956802888,84,0,,,3.8499147250527646,0.0,3.8499147250527646,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p4_t0_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,3.4729018211364746,5.524965925966187,3.044994778401297,48,0,,1.0,2.1179859327015396,0.6445524980465057,2.1178749971716364,2,0,0.11841034889221191,cartesian(frac=1.00)
fruit_r0_p4_t0_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,3.4636311531066895,9.29941106268329,4.4549251333601125,58,0,,1.0,3.880654980811233,0.7687333528493072,3.881289376173443,2,0,0.15003395080566406,cartesian(frac=1.00)
fruit_r0_p4_t0_f0,frontal,RRTConnect,0,True,False,False,False,False,0.7489964962005615,10.033659681196077,4.588673224032999,104,0,,,4.044444921890574,0.9723849187074649,4.044444921890574,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p4_t0_f0,frontal,RRTConnect,1,True,False,False,False,False,0.7250280380249023,10.033686429879621,4.588673280361372,104,0,,,4.044447965529588,0.9723952494102236,4.044447965529586,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p4_t0_f0,naive,RRTConnect,0,True,False,False,False,False,0.7233481407165527,7.544210247548067,4.554145945024855,84,0,,,3.7721051237740335,0.0,3.7721051237740335,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p4_t0_f0,naive,RRTConnect,1,True,False,False,False,False,0.7433514595031738,4.159927826227141,2.900713925349393,84,26,stem_r0_p3_s1|grasped_fruit_r0_p4_t0_f0×8;stem_r0_p4_s1|grasped_fruit_r0_p4_t0_f0×8;rg2_leftfinger|stem_r0_p4_s1×6;rg2_leftfinger|stem_r0_p3_s2×4;stem_r0_p4_s0|grasped_fruit_r0_p4_t0_f0×4;rg2_leftfinger|stem_r0_p3_s1×2;rg2_hand|stem_r0_p4_s1×2,,2.0799639131135708,0.0,2.07996391311357,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p1_t0_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,1.5169432163238525,5.3569438967176195,2.275173231225251,52,0,,1.0,1.9904881426137002,0.6882533130042714,1.989949128095376,2,0,0.13810515403747559,cartesian(frac=1.00)
fruit_r0_p1_t0_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,1.571239709854126,5.994820331216948,2.425585163765135,54,0,,1.0,2.009793585171588,0.9878222078174288,2.009382330410503,2,0,0.10932803153991699,cartesian(frac=1.00)
fruit_r0_p1_t0_f0,frontal,RRTConnect,0,True,False,True,False,True,0.5486595630645752,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p1_t0_f0,frontal,RRTConnect,1,True,False,True,False,True,0.5299625396728516,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p1_t0_f0,naive,RRTConnect,0,True,False,False,False,False,0.4944119453430176,3.5489240746909143,2.325047589281775,84,0,,,1.7744620373454572,0.0,1.7744620373454574,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p1_t0_f0,naive,RRTConnect,1,True,False,False,False,False,0.48737168312072754,3.5489240746909143,2.325047589281775,84,0,,,1.7744620373454572,0.0,1.7744620373454574,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p1_t1_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,3.564906597137451,7.138459524589964,1.94200172690504,56,0,,1.0,2.4587567162860537,1.1103485958105241,2.459005616682861,2,0,0.11336636543273926,cartesian(frac=1.00)
fruit_r0_p1_t1_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,3.5212771892547607,7.138613030606716,1.943605938650581,56,0,,1.0,2.4581187062044196,1.1103485958105241,2.4597971327812482,2,0,0.0867002010345459,cartesian(frac=1.00)
fruit_r0_p1_t1_f0,frontal,RRTConnect,0,True,False,True,False,True,1.1064238548278809,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p1_t1_f0,frontal,RRTConnect,1,True,False,True,False,True,1.0811820030212402,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p1_t1_f0,naive,RRTConnect,0,True,False,False,False,False,1.0571892261505127,4.369819484196416,1.8843847042709463,84,0,,,2.184909742098208,0.0,2.1849097420982075,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p1_t1_f0,naive,RRTConnect,1,True,False,False,False,False,1.0594871044158936,4.369819484196416,1.8843847042709463,84,0,,,2.184909742098208,0.0,2.1849097420982075,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t2_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,3.4974966049194336,6.717355551516862,1.5850265054974917,56,0,,1.0,2.350151526892521,1.008765884172147,2.3496722562800474,2,0,0.09766006469726562,cartesian(frac=1.00)
fruit_r0_p2_t2_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,3.526366710662842,6.716237367100069,1.5860627437980164,56,0,,1.0,2.3486970978622512,1.008765884172147,2.350008500893524,2,0,0.09765791893005371,cartesian(frac=1.00)
fruit_r0_p2_t2_f0,frontal,RRTConnect,0,True,False,True,False,True,1.0747411251068115,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p2_t2_f0,frontal,RRTConnect,1,True,False,True,False,True,1.090421438217163,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,0.0,frontal/IK 실패
fruit_r0_p2_t2_f0,naive,RRTConnect,0,True,False,False,False,False,1.035705804824829,4.018199230857228,1.4950214085902465,84,0,,,2.0090996154286143,0.0,2.009099615428614,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t2_f0,naive,RRTConnect,1,True,False,False,False,False,1.0337543487548828,4.018199230857228,1.4950214085902465,84,0,,,2.0090996154286143,0.0,2.009099615428614,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f3,harvest_linear,RRTConnect,0,True,True,False,False,False,1.3349952697753906,5.402390365238613,2.2690293348272172,46,0,,1.0,2.3069748470258715,0.3938674049329982,2.307680708346745,2,0,0.09092426300048828,cartesian(frac=1.00)
fruit_r0_p2_t0_f3,harvest_linear,RRTConnect,1,True,True,False,False,False,1.404062032699585,4.7911875647378785,2.362737484627579,44,0,,1.0,1.9875350571037225,0.4075515288556433,1.9885494499228693,2,0,0.12764477729797363,cartesian(frac=1.00)
fruit_r0_p2_t0_f3,frontal,RRTConnect,0,True,False,False,False,False,0.24621963500976562,10.182587463304584,3.19911884034755,102,0,,,4.089324660138741,1.0019690715135505,4.089324660138741,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f3,frontal,RRTConnect,1,True,False,False,False,False,0.3003044128417969,10.182587483941491,3.199118938595708,102,0,,,4.08932470665216,1.0019690353185855,4.08932470665216,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f3,naive,RRTConnect,0,True,False,False,False,False,0.19856953620910645,9.167229292770841,3.5796590677110016,84,14,rg2_hand|stem_r0_p2_s0×8;stem_r0_p2_s0|grasped_fruit_r0_p2_t0_f3×8;rg2_leftfinger|stem_r0_p2_s0×6;rg2_hand|stem_r0_p2_s1×4,,4.58361464638542,0.0,4.5836146463854215,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f3,naive,RRTConnect,1,True,False,False,False,False,0.2554128170013428,5.175491762636451,2.4355924440003953,84,22,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f3×16;rg2_leftfinger|rachis_r0_p2_t1×8,,2.587745881318225,0.0,2.587745881318226,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f2,harvest_linear,RRTConnect,0,True,True,False,False,False,1.1792590618133545,5.5072750663650405,2.152683791175339,48,0,,1.0,2.3701452821488123,0.3831049584488792,2.3709198673184697,2,0,0.12177062034606934,cartesian(frac=1.00)
fruit_r0_p2_t0_f2,harvest_linear,RRTConnect,1,True,True,False,False,False,1.1328773498535156,6.022874911950293,2.1197430891930944,48,0,,1.0,2.649489752756511,0.3619798606177606,2.6494254379582602,2,0,0.12199878692626953,cartesian(frac=1.00)
fruit_r0_p2_t0_f2,frontal,RRTConnect,0,True,False,False,False,False,0.2142477035522461,10.18078942208803,3.0430930083657532,102,0,,,4.08237259621862,1.008022114825395,4.08237259621862,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f2,frontal,RRTConnect,1,True,False,False,False,False,0.2512235641479492,9.071018359477687,2.618497402263424,102,0,,,3.6111299428638093,0.924379236875034,3.6111299428638097,0,0,0.0,frontal/거터법선 직선진입 25cm fraction=1.00 (회피 없음)
